darija,eng,darija_ar
l aj8iza l iliktroniya fiha bzaf dyal mawad kimya2iya sama,Electronic devices contain many toxic chemicals,ل أجهيزا ل إليكترونييا فيها بزاف ديال ماواد كيمياإيا ساما
"walakin t9dar t8Dar m3a ostadk dyal phisique, ila kanti m8tam","But you can talk to your physics teacher, if you're interested.","والاكين تقدار تهضار معا أُستادك ديال پهيسيقو, إلا كانتي مهتام"
"khasni namchi daba, 7it l7iSa jjaya ghadi tbda mn daba d9i9a","I have to leave now, because the next class starts in one minute!","خاسني نامشي دابا, حيت لحيصا الجايا غادي تبدا من دابا دقيقا"
wach t9dar 3afak tghsal yadik mora mat9is wajhak,Could you please wash your hands after touching your face,واش تقدار عافاك تغسال ياديك مورا ماتقيس واجهاك
rah darori n7afdo 3la nadafa,It is vital that we maintain good hygiene,راه داروري نحافدو علا نادافا
achno bghitina ndiro f l9a2ima dyal had llila?,What do you want us to do next for tonight's menu?,أشنو بغيتينا نديرو ف لقاإما ديال هاد الليلا?
"3aDim, ana far7ana 7it wDD7na l9awa3id asasiya","Great, I am pleased we have cleared the ground rules","عاضيم, أنا فارحانا حيت وضّحنا لقاواعيد أساسييا"
"achno kayn f l9a2ima lyoum, ba9i 3a9al?","What is on the menu for tonight, do you remember?","أشنو كاين ف لقاإما ليوم, باقي عاقال?"
kayban liya khasna nwajdo dkhla bl7ot,It seems to me that we should be planning an entrance with fish,كايبان لييا خاسنا نواجدو دخلا بلحوت
mn ba3d Taba9 dyal l7am o disir bfaki8a l7amra,"Then a dish with meat, and then dessert with red fruit.",من باعد طاباق ديال لحام أُ ديسير بفاكيها لحامرا
nta wa3ar bzaf f khtira3 aTba9 khaSSa,Your are very good at inventing special dishes,نتا واعار بزاف ف ختيراع أطباق خاصّا
ach khasna ndiro bl bream,What shall we do with the bream?,أش خاسنا نديرو بل برام
zwin o ba9i yalah khrj mn lb7r,It is lovely and fresh,زوين أُ باقي يالاه خرج من لبحر
"ach kat9sadi bDabT a Layla, mamt2akadch wach fhamt","What exactly do you mean, Layla, I'm not sure I understand","أش كاتقسادي بضابط أ لايلا, مامتأكادش واش فهامت"
"Bream 7ot byaD sghir, katchbah l7ot l9aros 3la makanDn","Bream is a small white fish, slightly like sea bass I guess","برام حوت بياض سغير, كاتشباه لحوت لقاروس علا ماكانضن"
imkn n9adro nzaynoh bl7amD o chwiya dyal zayt ziton?,"Maybe we can marinate it in lemon, and with a little olive oil?",إمكن نقادرو نزاينوه بلحامض أُ شوييا ديال زايت زيتون?
m3a chwiya dyal lkhoDra jdida,along with some fresh vegetables,معا شوييا ديال لخوضرا جديدا
"kanDn ila 9litiha, 9liha chwiya o 7atha m3a l7amD m3a zit ziton","I think if you fillet it, then fry it lightly and serve with a lemon and olive oil","كانضن إلا قليتيها, قليها شوييا أُ حاتها معا لحامض معا زيت زيتون"
kanDn ymkan lina nSawboh o n9admo8 m3a chwiya dyal a3chab lba7riya ka bidaya,I think we could just prepare it and serve with a little seaweed as it is a starter,كانضن يمكان لينا نصاوبوه أُ نقادموه معا شوييا ديال أعشاب لباحرييا كا بيدايا
"ah, kayna, hadi fikra zwina","Oh, yeah, that's a great idea!","أه, كاينا, هادي فيكرا زوينا"
"kayn bzaf dyal fraise Tazaj, ya9dar nbdaw n7atoha f sokar o chi machrobat ko7oliya","There are plenty of fresh strawberries, perhaps you could start by mascerating them in sugar and some liqueur","كاين بزاف ديال فرايس طازاج, ياقدار نبداو نحاتوها ف سوكار أُ شي ماشروبات كوحولييا"
ach ban lik flmobadara dyal l2akl ssi7i li dakhla fiha l7okoma?,What do you think of the healthy eating initiative that the Government are getting involved in?,أش بان ليك فلموبادارا ديال لأكل السيحي لي داخلا فيها لحوكوما?
imkn n9adro ndiro kika dyal limon b lfraise?,Maybe we could make a little lemon pie with the strawberries?,إمكن نقادرو نديرو كيكا ديال ليمون ب لفرايس?
lgholD f fransa machi mochkila kbira b7al f ngliz,Obesity in France is not such a problem as it is in England,لغولض ف فرانسا ماشي موشكيلا كبيرا بحال ف نڭليز
wach kadan bila 3ndi l7a9 fhadchi?,Do you think I am right about that?,واش كادان بيلا عندي لحاق فهادشي?
"walakin m3a 7wayj zwina,ta9dar takol 7san","But with good stuff, you can eat better.","والاكين معا حوايج زوينا,تاقدار تاكول حسان"
"m3a hadchi f i3tibar, kandan khasna nkhaliw kika dyal limon o nrakzo 3la maklat akhaf",Bearing that in mind I think we should leave the lemon pies and concentrate on a lighter menu,"معا هادشي ف إعتيبار, كاندان خاسنا نخاليو كيكا ديال ليمون أُ نراكزو علا ماكلات أخاف"
"chokran 3la 9tira7at dyalk lyoum, bslama","Thanks for your suggestions today, good bye","شوكران علا قتيراحات ديالك ليوم, بسلاما"
kan7awl ndwz wa9t mori7 hna o kanfDDel mantbarzaTch,I'm trying to have a relaxing time here and I'd prefer not to be disturbed.,كانحاول ندوز واقت موريح هنا أُ كانفضّل مانتبارزاطش
mabghit ta wa7d i derangini,I don't want anyone to disturb me,مابغيت تا واحد إ درانڭيني
walakin rah dazt ktar mn sa3a bach jina 8na,But it's already over an hour ago that we're here.,والاكين راه دازت كتار من ساعا باش جينا هنا
n9adro nmchiw lmdina chwiya dyal lwa9t,We could go to town for a while.,نقادرو نمشيو لمدينا شوييا ديال لواقت
ana chaft lmdina o manba8rtch bzaf,I've seen the town and I'm not impressed.,أنا شافت لمدينا أُ مانباهرتش بزاف
kanfadal ntaka 8na fchamch o momkin na9ra faSl wla joj mn ktabi,I'd much rather just laze here in the sun and perhaps read a chapter or two of my book.,كانفادال نتاكا هنا فشامش أُ مومكين ناقرا فاصل ولا جوج من كتابي
ana kandkhal fl9isa o kandan ghadi twali motira bzaf 9riban,I'm really getting into the story and I think it's going to become quite exciting soon.,أنا كاندخال فلقيسا أُ كاندان غادي توالي موتيرا بزاف قريبان
achnahowa had lktab law3r likat9ra?,What is this exciting book you're reading?,أشناهووا هاد لكتاب لاوعر ليكاتقرا?
chakhsiya ra2isiya hiya 3alim ansab,The main character is a genealogist,شاخسييا راإسييا هييا عاليم أنساب
kay7awal yfham 9isa 3a2iliya 3la lmo8rribin,he is trying to make sense of a family story about smugglers,كايحاوال يفهام قيسا عاإلييا علا لموهرّيبين
katban liya 9isa ghariba bnasba liya,That sounds like a curious story to me.,كاتبان لييا قيسا غاريبا بناسبا لييا
ghadi namchi nakhod lktab dyal lkhayal l3ilmi dyali,I'm gonna go get my science fiction book.,غادي نامشي ناخود لكتاب ديال لخايال لعيلمي ديالي
3lach ktab lkhayal l3ilmi 7san?,why is a science fiction book better?,علاش كتاب لخايال لعيلمي حسان?
kayjini dakchi mjbbed bzaf o mat9darch tay9o,I find many of them just too far fetched to be believable.,كايجيني داكشي مجبّد بزاف أُ ماتقدارش تايقو
7it tarikh dyal awwn nas jaw lmarikh o l9aw atar dyal 7aDara 9dima bzaf,Because the history of the first men who come to Mars and find traces of a very old civilisation,حيت تاريخ ديال أوّن ناس جاو لماريخ أُ لقاو أتار ديال حاضارا قديما بزاف
"hadchi aktar itara li8timam mn tarikhk f3ilm l ansab o lkanz""",it's much more interesting than your history of genealogist and treasure,"هادشي أكتار إتارا ليهتيمام من تاريخك فعيلم ل أنساب أُ لكانز"""
ktabi kay3tamd joz2iyan 3la 7a9a2i9,My book is partly based on facts,كتابي كايعتامد جوزإيان علا حاقاإق
kaytkhayal chi 7wayj li i9dro ikono w93o l3isaba dyal t8rib 7a9i9iya,It imagines things that might have happened to a real smuggling gang,كايتخايال شي حوايج لي إقدرو إكونو وقعو لعيسابا ديال تهريب حاقيقييا
kayna 7timalia Sghira bzaf dyal ana8o tkon 7aDara fl mrrikh,there is very little likelihood of an old civilisation occurring on Mars,كاينا حتيماليا صغيرا بزاف ديال أناهو تكون حاضارا فل مرّيخ
3ll a9all machi chi naw3 mn l7ayat li n9dro n3rfo,at least not a form of life we'd recognise,علّ أقالّ ماشي شي ناوع من لحايات لي نقدرو نعرفو
kayn jaw khayb o chwiya dyal lma,there's a poor atmosphere and little water,كاين جاو خايب أُ شوييا ديال لما
i7timal yl9aw 7oTam f lmarikh fi3lan sghir,The probability of finding ruins on Mars is indeed small,إحتيمال يلقاو حوطام ف لماريخ فيعلان سغير
ma3a dalik makankra8ch riwayat dyal jarima,That says I don't hate crime novels,ماعا داليك ماكانكراهش ريوايات ديال جاريما
9rit chi riwayat dyal Agatha Christie,I have read some of Agatha Christie's novels.,قريت شي ريوايات ديال أڭاتها شريستي
ana machi mn lmo3jabin lkbar 7it momilla,I'm not a great fan because they are rather boring.,أنا ماشي من لموعجابين لكبار حيت موميلّا
likanl9a zwin howa so2al 3la jwaj8a,What I do find fascinating about her is the question of her marriage,ليكانلقا زوين هووا سوأل علا جواجها
chno li dart mnin ghbrat,what she did when she disappeared,شنو لي دارت منين غبرات
b3D nnas s7ab lihom nta7rat,some people thought that she had committed suicide,بعض الناس سحاب ليهوم نتاحرات
"wakha, ghadi na3tik 15 d9i9a khra m3a ikhtisasi l ansab","Well, I'll give you 15 more minutes with your genealogist.","واخا, غادي ناعتيك 15 دقيقا خرا معا إختيساسي ل أنساب"
mn ba3d ghadi nmchiw ntghddaw,Then we'll go to lunch.,من باعد غادي نمشيو نتغدّاو
kaybghiw nit yaklo jlbana mjamda,They really like eating frozen peas,كايبغيو نيت ياكلو جلبانا مجامدا
"walakin 7ayadtiha man tllaja 9bal, yak?","But you defrost them before, right?","والاكين حايادتيها مان تلّاجا قبال, ياك?"
"ah, mn 7san t7ayd mnhom talj hiya lawla","Yes, it's better to defrost them first.","أه, من حسان تحايد منهوم تالج هييا لاولا"
"kandan kaybghiw lkhoDra, walakin mamat2akadch chno akhor","I think they like vegetation, but I'm not too sure what else","كاندان كايبغيو لخوضرا, والاكين ماماتأكادش شنو أخور"
wach kat3raf ila kant chi 9ahwa 9riba mn 8na,Do you know if there is a cafe close by to here?,واش كاتعراف إلا كانت شي قاهوا قريبا من هنا
walakin rah ma9ribach o ma3raftch wach kat7ll n8ar l7ad,But it's not close and I don't know if it's open on Sunday.,والاكين راه ماقريباش أُ ماعرافتش واش كاتحلّ نهار لحاد
khasna namchiw moda twila chwiya 3la Tol lbirka o nTl3o m3a lwad chi myat mitro,We have to go a little longer along the pond and then roll up the river for a hundred meters.,خاسنا نامشيو مودا تويلا شوييا علا طول لبيركا أُ نطلعو معا لواد شي ميات ميترو
mn b3d kayna dik rond-point o maghadich t9dro tzglo8a,Then there's this round-point and you won't be able to miss it.,من بعد كاينا ديك روند-پونت أُ ماغاديش تقدرو تزڭلوها
wakha kandan jlbana dyalhom jamda tahiya!,Even though I think their peas are frozen as well!,واخا كاندان جلبانا ديالهوم جامدا تاهييا!
lbaT m3a sauce dyal limon mn a7san l7wayj 3ndi ta8oa,Duck with orange sauce is a favourite of mine too.,لباط معا سوس ديال ليمون من أحسان لحوايج عندي تاهوا
imkn kaytsama tagine walakin mamt2akadch,"I think it's called Tagine, but I'm not sure",إمكن كايتساما تاڭين والاكين مامتأكادش
"kanbghi l7ot o chips bzaf, walakin makanakolch bzaf dyal l7am","I like fish and chips a lot, but I don't eat much meat.","كانبغي لحوت أُ شيپس بزاف, والاكين ماكاناكولش بزاف ديال لحام"
lbaT - kanfaDalhom flbirka 3la tabsili!,Ducks - I prefer them in the pond than on my plate!,لباط - كانفاضالهوم فلبيركا علا تابسيلي!
ah ah ah... b7wa7d chkel ah!,Ah ah ah... in a way yes!,أه أه أه... بحواحد شكل أه!
"walakin daba mnin fkart fiha, katjini l9ahwa katrddha 7sn ga3.","But now that I think about it, I think that coffee makes it even better.","والاكين دابا منين فكارت فيها, كاتجيني لقاهوا كاتردّها حسن ڭاع."
"ma3raftch ila kant mazyana, khasak tjarabha!","I don't know if it's any good, you should try it!","ماعرافتش إلا كانت مازيانا, خاساك تجارابها!"
ga3 had l8Dra 3la lmakla katkhalini n7as bjo3,All this talk of food is making me hungry,ڭاع هاد لهضرا علا لماكلا كاتخاليني نحاس بجوع
ana matwatar bzaf flkhadma bzaf fhad lwa9t,I am pretty stressed out with work at the moment.,أنا ماتواتار بزاف فلخادما بزاف فهاد لواقت
la bghit ghir nsawal 3la anwa3 lbira li3ndak,"No, I just wanted to ask what beers do you have",لا بغيت غير نساوال علا أنواع لبيرا ليعنداك
ila kan 3ndak chrab ghadi nkon bikhir,"If you have wine, I'll be fine, too.",إلا كان عنداك شراب غادي نكون بيخير
hiya mora chwia walakin mon3icha,i's is quite bitter but very refreshing,هييا مورا شويا والاكين مونعيشا
"al jiti tchof, 7na matkhasin f lbira","after all, we are beer specialists","أل جيتي تشوف, حنا ماتخاسين ف لبيرا"
ana kanbghi bzaf t lbirra lmorra,I like a lot of bitter beer,أنا كانبغي بزاف ت لبيرّا لمورّا
ta9dar tkob liya chi kwiyyes?,Could you pour me a pint?,تاقدار تكوب لييا شي كوييّس?
o mn ba3d ghdi nakhod iTro kaml!,Then I'll have a whole liter!,أُ من باعد غدي ناخود إطرو كامل!
chno kayn 3ndk f lmakla?,What do you have to eat?,شنو كاين عندك ف لماكلا?
"redd lbal, chreb o 9yyes","remember, drink responsibly.","ردّ لبال, شرب أُ قيّس"
ghadi ta7taj chi 7aja chahiya bach tmaS ga3 dik lbira,you're going to need something hearty to soak up all that beer,غادي تاحتاج شي حاجا شاهييا باش تماص ڭاع ديك لبيرا
bayna ghadi dwwez lila zwina had llila,it looks like you going to be having quite a big night tonight,باينا غادي دوّز ليلا زوينا هاد الليلا
majmo3a syal 30 burger Sghar,a selection of 30 miniature burgers,ماجموعا سيال 30 بورڭر صغار
kol wa7da 3ndha chwia mn frmaj o l7am,each with it's own unique cheese and meat combo,كول واحدا عندها شويا من فرماج أُ لحام
walakin ana ma3ndich m3a lbaSla,But I don't like onions,والاكين أنا ماعنديش معا لباصلا
wach 3andak burger bla bSla?,Do you have a burger without onions?,واش عانداك بورڭر بلا بصلا?
n9adro ndiro lik ga3 l burger bla basla ila bghiti,we can do all of our burgers without onions if you prefer,نقادرو نديرو ليك ڭاع ل بورڭر بلا باسلا إلا بغيتي
kif kan9olo zabon dima 3ando l7a9,"as we say, the customer is always right.",كيف كانقولو زابون ديما عاندو لحاق
kimma kangolo lklyan dima 3ando l7a9,"as we say, the customer is always right.",كيمّا كانڭولو لكليان ديما عاندو لحاق
"diri bzaf dyal lfarmaj, blkhoSous!","Put on a lot of cheese, especially!","ديري بزاف ديال لفارماج, بلخوصوس!"
ghadi na7taj bzaf dyal lma bach ndawz ga3 had bTaTa,I'm gonna need a lot of water to pass all those potatoes,غادي ناحتاج بزاف ديال لما باش نداوز ڭاع هاد بطاطا
jib liya wa7d akhor mn daba chwia,Bring me another one soon.,جيب لييا واحد أخور من دابا شويا
wach na9dar nglas 3la had lkorsi?,Can I sit in this chair?,واش ناقدار نڭلاس علا هاد لكورسي?
walakin t9dr tglas f ay blasa khra,But you can sit anywhere else.,والاكين تقدر تڭلاس ف أي بلاسا خرا
"wla ila bghiti, ta9dar takka l8i8","Or if you prefer, you can lie down there","ولا إلا بغيتي, تاقدار تاكّا لهيه"
wach na9dar ntakka 3la had 2arika?,Can I lie on this couch?,واش ناقدار نتاكّا علا هاد أريكا?
wach n9dar ntjbbed fhad l fauteuil?,Can I lie on this couch?,واش نقدار نتجبّد فهاد ل فوتويل?
kayban liya n9i o jdid,he looks clean and new,كايبان لييا نقي أُ جديد
ana khayf chwiya mn lglis 3lih,I'm kind of worried about sitting on it,أنا خايف شوييا من لڭليس عليه
kandan law9of ghadi ykon 7san lia,I think it would make me feel better to stand,كاندان لاوقوف غادي يكون حسان ليا
wach bghiti mni n7ayad sbaT?,Would you like me to take my shoes off?,واش بغيتي مني نحاياد سباط?
ana ma3rafch mzyan achno lli 7san,I don't know too much what would be best,أنا ماعرافش مزيان أشنو اللي حسان
3afak dir rassk b7ala fdarkom,Please just make yourself at home,عافاك دير راسّك بحالا فداركوم
"ewa, ila kanti mrta7, ach kat3awd?","So, if you're feeling comfortable, what's been going on?","إوا, إلا كانتي مرتاح, أش كاتعاود?"
kandan bila jirani kays7ab lihom bghit n2adihom,I think my neighbors think I want to hurt them,كاندان بيلا جيراني كايسحاب ليهوم بغيت نأديهوم
dakchi 3lach kankhaf nb9a fdar o kan7awl mandirch Sda3,So I'm afraid to stay at home and try to make the least noise,داكشي علاش كانخاف نبقا فدار أُ كانحاول مانديرش صداع
"mab9it mrta7 ftta 9nt,rak 3arf","I don't belong anywhere, you know.","مابقيت مرتاح فتّا قنت,راك عارف"
ana mat2akad bila kayna chi blasa katnasbak,I'm sure there's somewhere you fit in.,أنا ماتأكاد بيلا كاينا شي بلاسا كاتناسباك
wach mn dima kat7ess b7al haka?,Have you always felt like this?,واش من ديما كاتحسّ بحال هاكا?
walakin kandan bila kaytzad 3liya So3oba m3a lwa9t,But I think it's getting harder for me in time,والاكين كاندان بيلا كايتزاد علييا صوعوبا معا لواقت
o zid 3liha jirani jjdad fchkel,"Plus, my new neighbors are weird.",أُ زيد عليها جيراني الجداد فشكل
dima kaychofo fiya choufa ghariba,They always look at me with a strange look,ديما كايشوفو فييا شوفا غاريبا
kanDnn kaysam3o ldakchi likandir mnora l7yoTa,I think they're listening to what I'm doing through the walls,كانضنّ كايسامعو لداكشي ليكاندير منورا لحيوطا
wach 7ta nta katsma3 lihom mora l7yoT?,Do you listen to them through the walls too?,واش حتا نتا كاتسماع ليهوم مورا لحيوط?
"oh, la, ghadi nkon khayf bzaf ila 3arfo bila kantSannat 3lihom","Oh, no, I'd be too afraid if they found out I was listening","أُه, لا, غادي نكون خايف بزاف إلا عارفو بيلا كانتصانّات عليهوم"
dakchi 3lach kan7as b7ala kantfaraj,That's why I feel like I'm watching,داكشي علاش كانحاس بحالا كانتفاراج
walakin ma3ndich lflous bach nr7al ldar khra,But I don't have the money to move into a house,والاكين ماعنديش لفلوس باش نرحال لدار خرا
"ah, idan nti kat3ichi f parTma flwa9t l7ali?","Oh, so you live in a flat at the moment?","أه, إدان نتي كاتعيشي ف پارطما فلواقت لحالي?"
"ah, wach magalthach lik mn 9bal?","Yes, I did, didn't I tell you earlier?","أه, واش ماڭالتهاش ليك من قبال?"
walakin ma3mmr kano 3ndk machakil m3a jiran l9dam diksa3?,But you never had problems with the old neighbours then?,والاكين ماعمّر كانو عندك ماشاكيل معا جيران لقدام ديكساع?
kant mra charfa masm3at walo o madart 7ta Sda3,She was an old person who didn't hear anything and make no noise,كانت مرا شارفا ماسمعات والو أُ مادارت حتا صداع
"wakha, hadi ghadi t3tina asas zwin bach nbdaw bih lmrra jaya","Well, that will give us a good basis to start with next time","واخا, هادي غادي تعتينا أساس زوين باش نبداو بيه لمرّا جايا"
3andi bzaf dyal lmarda akhrin bach nchofhom,I've got lots of other patients to see,عاندي بزاف ديال لماردا أخرين باش نشوفهوم
o li9a2 gharami f wa9t lghda!,And a date this lunchtime!,أُ ليقاء غارامي ف واقت لغدا!
3afak sajal lkhoroj dyalk fl isti9bal mnin tkhraj,Please sign out at reception when you leave,عافاك ساجال لخوروج ديالك فل إستيقبال منين تخراج
"wakha, chokran 3la lw9t li 3Titini, sma7 liya 7it Sda3tak","Okay, thanks for your time, I'm sorry I bothered you","واخا, شوكران علا لوقت لي عطيتيني, سماح لييا حيت صداعتاك"
sma7 liya sma7 liya dima ...,And I'm sorry I'm always sorry...,سماح لييا سماح لييا ديما ...
kanl9a So3oba bach nfham l2i7timalat,I'm having a hard time understanding the odds,كانلقا صوعوبا باش نفهام لإحتيمالات
"l2amr m3a9ad 3andi, rah dart ghir l2adab tal daba safi",It's too complicated for me that's done only literature so far!,"لأمر معاقاد عاندي, راه دارت غير لأداب تال دابا سافي"
"awdi, ana ostad dyal nglizia, dakchi 3lach mamt2akadch wach ghan3awnk mzyan...","Well, I am an English teacher, so I'm not sure I'll be much help...","أودي, أنا أُستاد ديال نڭليزيا, داكشي علاش مامتأكادش واش غانعاونك مزيان..."
"hoa l ostad dyal riyadiyat dyalk, yak?","He's your maths teacher, right?","هوا ل أُستاد ديال رييادييات ديالك, ياك?"
kayban chi mrat kaykhla3 chwiya,he can sometimes come across as a bit intimidating,كايبان شي مرات كايخلاع شوييا
bda b annak tgoliha chno katfham,Start by telling me what you understand,بدا ب أنّاك تڭوليها شنو كاتفهام
frasi nta ostad tl anglais,I know you're an English teacher,فراسي نتا أُستاد تل أنڭلايس
walakin rah ssi Hossam kayTll3ha 3lina,but Mr. Hossam is a bully!,والاكين راه السي هوسّام كايطلّعها علينا
"l7aja lwa7ida li kaydir hia kayTyye7 mnna, wi fkkrna annaho mot99af 3lina","All he does is put us down, and remind us that he's intellectually superior","لحاجا لواحيدا لي كايدير هيا كايطيّح منّا, وي فكّرنا أنّاهو موتقّاف علينا"
"zid 3liha, kayb9a itbssel 3la S7abati","Besides, he keeps harassing my friends","زيد عليها, كايبقا إتبسّل علا صحاباتي"
yamkan khasna nglso n8Dro 3la hadchi fwahd lw9t,Maybe we need to have a proper discussion about that at some point,يامكان خاسنا نڭلسو نهضرو علا هادشي فواهد لوقت
wach twaSlti m3a chi 7ad 3la hadchi?,Have you contacted anybody about that?,واش تواصلتي معا شي حاد علا هادشي?
kaykon lmostachar dyal madrasa kol tlat,There is a school counsellor on site every Tuesday,كايكون لموستاشار ديال مادراسا كول تلات
rah kaykhaTTo kamlin bach matkhraj 7ta ma3loma,They're plotting together in order not to let any of the information escape,راه كايخاطّو كاملين باش ماتخراج حتا ماعلوما
ghir l8Dra m3ak kat3aradni lkhaTar kbir,Just talking to you puts me in grave danger,غير لهضرا معاك كاتعارادني لخاطار كبير
ghir l8Dra m3ak t9dr tchri8a lia,Just talking to you could put me in danger,غير لهضرا معاك تقدر تشريها ليا
makanch frasi ga3 anna hadchi b8ad l7idda,I really didn't know it was this serious,ماكانش فراسي ڭاع أنّا هادشي بهاد لحيدّا
"matkhafich, ghadi ndiro chi 7aja 3la had l7sab","Don't worry, we'll do something about it","ماتخافيش, غادي نديرو شي حاجا علا هاد لحساب"
o 3mmrk tkhaf tdwi 3liha,And never be too scared to talk out about it,أُ عمّرك تخاف تدوي عليها
ch7al tlw9t o hadchi kayw9a3,How long has it been going on?,شحال تلوقت أُ هادشي كايوقاع
bda kayw9a3 mnin glna lih bila ddrs dyalo kaymchi bzrba,It's been going on since we dared to tell him his course was going too fast,بدا كايوقاع منين ڭلنا ليه بيلا الدرس ديالو كايمشي بزربا
3ndo bzaf mn 7ob nafs o makaybghi ta mo3araDa,He's got too much ego and can't stand a contradiction,عندو بزاف من حوب نافس أُ ماكايبغي تا موعاراضا
"7it howa Sa7b 3oDw lmajlis, rah kaynta9am","Since he's friends with the councilman, he's getting revenge","حيت هووا صاحب عوضو لماجليس, راه كاينتاقام"
"walakin daba mnin 3raf l9owa dyalo, rah tab3 s7abati 7it homa bnat","However, now that he's aware of his power, he also goes after my friends because they're girls","والاكين دابا منين عراف لقووا ديالو, راه تابع سحاباتي حيت هوما بنات"
o daba kaykar8oni 7it kays7ab lihom hada lghalaT dyali,Now they hate me because they think it's my fault,أُ دابا كايكارهوني حيت كايسحاب ليهوم هادا لغالاط ديالي
ghadi ykhasni ndir ijtima3 bach na9cho hadchi,I'm going to have to organise a meeting to discuss this,غادي يخاسني ندير إجتيماع باش ناقشو هادشي
ghadi n8Dr m3a ra2is o nchof ach n9addo ndiro bach n7e99o,I'll talk to the head and see what we can do to investigate,غادي نهضر معا راإس أُ نشوف أش نقادّو نديرو باش نحقّو
"o matkhafch, ghadi ndir dakchi bzarba","And don't worry, I'll do it quickly!","أُ ماتخافش, غادي ندير داكشي بزاربا"
kantmana itjyyef fl7abs 7yato kamlha,I hope he can rot in jail for the rest of his life,كانتمانا إتجيّف فلحابس حياتو كاملها
"iwa a Douaa, kidayra lyouma","So Douaa, how are you today?","إوا أ ضوا, كيدايرا ليوما"
"hakka o hakka, walakin 7san bzaf mn lbar7, chokran","So, so, but much better than yesterday, thank you","هاكّا أُ هاكّا, والاكين حسان بزاف من لبارح, شوكران"
tlata daba wla ghlaT fl7sab!,Three is it now or am I miscounting!,تلاتا دابا ولا غلاط فلحساب!
"akhir w7da fihom, bnt Chihab","the last one, Chihab's daughter","أخير وحدا فيهوم, بنت شيهاب"
"ka walidin, makhssch ikono 3ndk wlad mofDDalin",As a parent you're not supposed to have favourites,"كا واليدين, ماخسّش إكونو عندك ولاد موفضّالين"
walakin Jmiaa kant bant ghzala,but Jmiaa has been such a lovely daughter,والاكين جمياا كانت بانت غزالا
kangoul wld8a ghaykon zwin b7al8a,I'm guessing her child is just as beautiful as she is,كانڭول ولدها غايكون زوين بحالها
"2alam, bla mat8Dr m3aya 3la l2alam","Pains, don't talk to me about pains","ألام, بلا ماتهضر معايا علا لألام"
bzaz bach kan9dar ntmacha had liyam,I can barely walk these days,بزاز باش كانقدار نتماشا هاد لييام
"bsa7 Marion dima kant lbant sghira dyal kolchi... b7al Oliver dyalk, yak?","It's true that Marion was always the little girl of everyone... kind of like your Oliver, wasn't she?","بساح ماريون ديما كانت لبانت سغيرا ديال كولشي... بحال أُليڤر ديالك, ياك?"
ma8Azz m3aya tta tSwira daba,I don't have any pictures with me,ماهازّ معايا التا تصويرا دابا
walakin ma3raftch ach ndir biha,but I don't know what to do with it!,والاكين ماعرافتش أش ندير بيها
"3la 7sab iltihab lmafasil 3andak, l7osn l7ad, nta hna, kayna?","For your arthritis, fortunately, you're here, right?","علا حساب إلتيهاب لمافاسيل عانداك, لحوسن لحاد, نتا هنا, كاينا?"
bano liya lmowadafin kayT8llaw bzaf,The staff seems very caring,بانو لييا لمووادافين كايطهلّاو بزاف
Yanis 3tani tablet f 3id miladi,Yanis gave me a tablet in my birthday,يانيس عتاني تابلت ف عيد ميلادي
kankhadmo bach ntfrrj f tlfaza o l9raya t lktoba,I use it for watching TV and reading books,كانخادمو باش نتفرّج ف تلفازا أُ لقرايا ت لكتوبا
"walakin ila w7lt, lbnat lli 8na dima ghay3awnoni",but if I get stuck the girls in here will always help me,"والاكين إلا وحلت, لبنات اللي هنا ديما غايعاونوني"
"ah, idan ghadi tkon nta dki 3liya","Ah, you must be cleverer than me then!","أه, إدان غادي تكون نتا دكي علييا"
"ghaliban kaywariwni wladi kifach nch3lo o naktab emails, walakin...","My children often show me how to turn it on and even how to write e-mails, but...","غاليبان كايواريوني ولادي كيفاش نشعلو أُ ناكتاب إمايلس, والاكين..."
"m3a dmaghi ssghir, hadchi S3ib bzaf","With my poor head, it's too difficult!","معا دماغي السغير, هادشي صعيب بزاف"
kolchi khaso ymchi bzarba bnasba lihom,Everything has to go fast for them...,كولشي خاسو يمشي بزاربا بناسبا ليهوم
Loubna dwzat zbbala tlw9t katwrrini kifach nch3lo o ncharjih o nSift les emails,"Loubna spent ages showing me how to switch it on, charge it up, how to send emails",لوبنا دوزات زبّالا تلوقت كاتورّيني كيفاش نشعلو أُ نشارجيه أُ نصيفت لس إمايلس
"tfraj f youtube o tsma3 radio, hado sa8lin","Watching YouTube, listening to the radio, they're easy","تفراج ف يوتوب أُ تسماع راديو, هادو ساهلين"
khasni nl9a chi 7ad ycharji liya lktoba,I have to get someone to download the books for me,خاسني نلقا شي حاد يشارجي لييا لكتوبا
ta9dar t9ad lkhaT bach ys8al 3la 3inina charfin n9raw,you can set the font size so it's much easier for our old eyes to read the print,تاقدار تقاد لخاط باش يسهال علا عينينا شارفين نقراو
"ewa mlli gltiha, ghadi ntsana","Well, if you say so, I'll hold on!","إوا ملّي ڭلتيها, غادي نتسانا"
"wakha hakkak, ra7na kan3icho f aw9at msaTya, msaTya!","Still, we live in crazy, crazy times!","واخا هاكّاك, راحنا كانعيشو ف أوقات مساطيا, مساطيا!"
