darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
بلوكا,plug,Block,block,Block,block,Block,block
عيّن,assign,Appoint,appoint,Appoint,appoint,Appoint,appoint
ستفسر,inquire,Ask,inquire,Ask,inquire,Ask,inquire
صيّد,trap,Hunt,hunt,Hunting,hunt,Hunting,hunt
دوّر,surround,Search,search,Search,search,Search,search
تناقش,debate,Discuss,discuss,Discuss,discuss,Discuss,discuss
طوّر,upgrade,Develop,develop,Develop,Develop,Develop,develop
زيّن,decorate,Decorate,decorate,Decorate,decorate,decorate,decorate
جمع,accumulate,Collect,to collect,Gather,to gather,Gathering,to gather
ستاغلّ,profit,Work,work,Chilling,work,To work,to work
ورت,inherit,Eat,bring,Laugh,bring,Sleeping,bring
خربق,disrupt,Knock,to flirt,Knock,to slap,Breakdance,to slap
خنق,choke,Choke,strangle,Strangle,strangle,Strangle,strangle
دافع,plead,Pay,defend,Defend,defend,Defend,defend
غمّس,dip,Dip,dip,Dip,immerse,Dip,immerse
شتارك,subscribe,Participate,participate,Participate,Participate,Participate,Participate
علّم,educate,Teach,teach,Teach,teach,Teach,teach
طلّق,divorce,Divorce,divorce,Divorce,divorce,Divorce,divorce
غزل,spin,Flirt,flirt,Flirt,flirt,Flirtation,flirt
شوّش,obscure,Gossip,whisper,Gossip,whisper,Whisper,whisper
تسلّل,creep,Sneak,sneak,Sneak,sneak,Sneak,sneak
حرّف,twist,Distort,distort,Distort,distort,Distort,distort
مزج,blend,Mix,mix,Mix,mix,Mix,mix
راجع,revise,Review,review,Review,review,Review,review
نسب,attribute,Forget,attribute,Escape,to attribute,sleep,to forget
نفاجر,explode,Argue,argue,Rebel,provoke,Arguing,provoke
سكن,dwell,live,live,Live,live,Live,live
خفّف,alleviate,Lighten,lighten,Lighten,lighten,Lighten,lighten
عالج,remedy,Treat,treat,Treat,treat,Treat,Treat
رشد,instruct,Grow,grow,Guide,grow,Guide,grow
تسرّب,spill,leak,leak,leak,leak,leak,leak
فهم,comprehend,Understand,understand,Understand,understand,Understand,understand
رطّب,soften,Moisten,moisten,Moisturize,Moisten,Moisturize,moisten
شيّر,wave,Point,sell,Point,change,Laugh,Change
سطوكا,stock,Steal,steal,Robbery,Steal,Robbery,steal
وضع,position,Put,put,Put,put,putting,put
أمّن,insure,Secure,trust,Secure,Secure,Secure,To secure
نخارط,adhere,Play,map,Draw,to argue,We draw.,to dig
تشبّت,cling,Hold on,cling,cling,insist,cling,insist
ستدعا,summon,Call,to call,Call,to call,Call,to call
وڭف,pause,Watch,stand,Listen,stand,Listen,stand
وقف,pause,Stop,stop,Stop,stop,Stop,to stop
خوا,empty,Want,want,Want,want,Want,want
رتّب,classify,Arrange,arrange,Arrange,arrange,Arrange,arrange
تحمّل,afford,Bear,bear,Endure,bear,Download,bear
تسمع,sound,Listen,hear,Listen,hear,Listen,hear
نقّط,grade,dot,dot,Drip,dot,dot,to point
رجع,revert,Come,return,Come,return,Return,return
قيّم,value,Evaluate,evaluate,Evaluate,evaluate,Evaluate,evaluate
جازا,award,Pay,reward,Jaza - To reward,reward,To reward,reward
كافح,strive,Struggle,struggle,Struggle,struggle,Struggle,fight
بلّغ,notify,Reach,reach,Inform,inform,Inform,to inform
طفا,turn off,Turn off,turn off,Turn off,turn off,Turn off.,turn off
ريّح,sit down,Wind,smell,Blow,smell,Relax,smell
غش,cheat,Cheating,cheat,Cheating,cheat,Cheating,cheat
قشّر,peel,Peel,peel,Peel,peel,Peel,peel
