darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
كمّل,terminate,كمّل - Complete,complete,كمّل - Complete,Complete,Finish,Complete
عدّل,amend,Modify,modify,Edit,modify,Edit,modify
خدش,scratch,Scratch,Take,Scratch,Take,Scratch,Take
ستلزم,entail,Require,require,Require,require,Require,require
نفّد,execute,Run,to exhaust,Run,To exhaust,Run out,To exhaust
عدم,execute,Not to.,refrain,Avoid,to refuse,Avoid,to prevent
وطّد,consolidate,Strengthen,strengthen,Strengthen,Strengthen,Strengthen,strengthen
دوّر,round,Search,search,Search,Search,Search,search
عزل,isolate,Isolate,isolate,Isolate,Isolate,Isolate,Isolate
برّر,warrant,Justify,justify,Justify,Justify,Justify,Justify
ضعّف,weaken,Weaken,weaken,Double,weaken,Halve,weaken
تمشّا,march,Walk,walk,Walk,walk,Walk,walk
بغا,desire,Want,want,Want,want,Want,want
وسّع,widen,Expand,expand,Expand,Expand,Expand,expand
دردش,chat,Chat,chat,Chat,chat,Chat,Chat
ركب,board,Install,install,Install,Install,Ride,install
ختارع,invent,Invent,Choose,Choose,Choose,Invent,Choose
صنع,manufacture,Make,to make,Make,make,Make,make
سدّ,seal,Block,block,Block,block,Block,block
راجع,reconsider,Review,review,Review,review,Review,review
مصّ,suck,Drink,Suck,Suck,Suck,Suck,Suck
صوّر,picture,Take a picture.,to photograph,Take a picture,To film,Take a picture.,to film
صطادم,crash,Collide,Collide,Clash,Collide,Clash,Collide
فرشخ,crash,Laugh,to splash,Laugh,To spread,Laugh,To sweep
نقل,transport,Move,to transfer,Move,move,Move,move
بلوكا,plug,Block,block,Block,Block,Block,Block
عيّن,assign,Appoint,appoint,Appoint,Appoint,Appoint,appoint
ستفسر,inquire,Ask,inquire,Ask,inquire,Ask,inquire
صيّد,trap,Hunting,hunt,Fish,hunt,Catch,hunt
دوّر,surround,Search,search,Search,Search,Search,search
تناقش,debate,Discuss,discuss,Discuss,discuss,discuss,discuss
طوّر,upgrade,Develop,Develop,Develop,Develop,Develop,Develop
زيّن,decorate,Decorate,decorate,Decorate,decorate,Decorate,decorate
جمع,accumulate,Gather,to gather,Gather,to collect,Gather,to gather
ستاغلّ,profit,Chilling,work,Enjoy,Work,To exploit,work
ورت,inherit,Laugh,bring,Dance,bring,Eat,bring
خربق,disrupt,Knock,to slap,Flirt,to jump,Dance,to jump
خنق,choke,Strangle,strangle,Strangle,strangle,Strangle,strangle
دافع,plead,Defend,defend,Pay,pay,Defend,defend
غمّس,dip,Dip,immerse,Dip,Dip,Dip,immerse
شتارك,subscribe,Participate,Participate,Participate,Participate,Participate,Participate
علّم,educate,Teach,teach,Teach,teach,Teach,teach
طلّق,divorce,Divorce,divorce,Divorce,Divorce,Divorce,divorce
غزل,spin,Flirt,flirt,Flirt,Flirt,Flirt,Flirt
شوّش,obscure,Gossip,whisper,Whisper,whisper,Whispered,whisper
تسلّل,creep,Sneak,sneak,Sneak,sneak,Sneak,sneak
حرّف,twist,Distort,distort,Distort,distort,Distort,distort
مزج,blend,Mix,mix,Mix,mix,Mix,mix
راجع,revise,Review,review,Review,review,Review,review
نسب,attribute,Escape,to attribute,Forget,forget,Inherit,sleep
نفاجر,explode,Rebel,provoke,Argue,Deny,Argue,provoke
سكن,dwell,Live,live,Live,live,Live,live
خفّف,alleviate,Lighten,lighten,Lighten,Lighten,Lighten,Lighten
عالج,remedy,Treat,treat,Treat,Treat,Treat,Treat
رشد,instruct,Guide,grow,Guide,Grow,Guide,grow
تسرّب,spill,leak,leak,Leak,leak,Leak,leak
فهم,comprehend,Understand,understand,Understand,understand,Understand,understand
رطّب,soften,Moisturize,Moisten,Moisturize,Moisten,Moisturize,Moisten
شيّر,wave,Point,change,Laugh,To sell,Laugh,To sing
سطوكا,stock,Robbery,Steal,Steal,Steal,Steal,Steal
وضع,position,Put,put,Put,put,Put,put
أمّن,insure,Secure,Secure,Secure,Believe,Secure,Believe
نخارط,adhere,Draw,to argue,Laugh,Dig,Laugh,Dig
تشبّت,cling,cling,insist,Hold on,insist,cling,insist
ستدعا,summon,Call,to call,Call,to call,Call,to call
وڭف,pause,Listen,stand,Listen,Stand,Listen,Stand
وقف,pause,Stop,stop,Stop,stop,Stop,stop
خوا,empty,Want,want,Want,Want,Go.,Want
رتّب,classify,Arrange,arrange,Arrange,arrange,Arrange,arrange
تحمّل,afford,Endure,bear,Endure,bear,Endure,bear
تسمع,sound,Listen,hear,Listen,hear,Listen,hear
نقّط,grade,Drip,dot,Point,to dot,dot,dot
رجع,revert,Come,return,Come,return,Come,return
قيّم,value,Evaluate,evaluate,Evaluate,evaluate,Evaluate,evaluate
جازا,award,Jaza - To reward,reward,Jaza,reward,Reward,reward
كافح,strive,Struggle,struggle,Struggle,Fight,Struggle.,Struggle
بلّغ,notify,Inform,inform,Inform,reach,Inform,to inform
طفا,turn off,Turn off,turn off,Turn off,turn off,Turn off,turn off
ريّح,sit down,Blow,smell,Relax,Smell,Wind,Smell
غش,cheat,Cheating,cheat,Cheating,Cheat,Cheating,Cheat
قشّر,peel,Peel,peel,Peel,Peel,Peel,Peel
