darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl,p5_transl,eng_p5_transl
عدواني,aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,aggressive,aggressive
عريان,naked,Naked,naked,Naked,naked,Naked,Naked,Naked,Naked,naked,naked
متفوّق,superior,Outstanding,Successful,Outstanding,Outstanding,Outstanding,Outstanding,Outstanding,Excellent,successful,successful
شهري,monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Stubborn,Monthly,stubborn,cheeky
تشريعي,legislative,Legislative,Legislative,Legislative,Legislative,Legislative,Legislative,Legislative,Legislative,legal,legal
إضافي,spare,Extra,Additional,Extra,Extra,Extra,Extra,Extra,Additional,extra,extra
صريح,explicit,Direct,Direct,Direct,Direct,Direct,Direct,Blunt,Direct,blunt,honest
مؤلم,painful,Painful,Painful,Painful,Painful,Painful,Painful,Painful,Painful,painful,painful
متابع,successive,Follower,Follower,Follower,Follower,Follower,Follower,Loyal,Dedicated,loyal,loyal
دكي,intelligent,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Sassy,Stubborn,stubborn,stubborn
مقلّق,unhappy,Annoying,Disturbing,Annoying,Disturbing,Disturbing,Disturbing,Annoying,Disturbing,Annoying,disturbing
جيني,genetic,Jenny,Genius,Jenny,Genius,Genie,Genuine,Funny,Beautiful,Clever,cute
ماضاروريش,unnecessary,Mischievous,Unnecessary,Essential,Stubborn,Stubborn,Unpredictable,Stubborn,Unpredictable,unpredictable,stubborn
مؤثر,influential,Touching,Touching,Influential,Touching,Touching,Touching,Influential,Touching,touching,touching
غير,just,Different,Different,Different,Different,Different,Different,Rebellious,Different,different,different
هير,just,Shy,Silky,Beautiful,Silky,Curly,Silky,Crazy,Shy,Sly,brave
جيست,just,Guest,Nice,Guest,Nice,Cool,Honest,Funny,Generous,cool,smart
جيعان,hungry,Hungry,Hungry,Hungry,Hungry,Hungry,Hungry,Hungry,Hungry,hungry,hungry
مكتّف,intensive,Satisfied,Satisfied,Content,Satisfied,Satisfied,Satisfied,Resourceful,Satisfied,Satisfied,satisfied
استوائي,tropical,Tropical,Tropical,Tropical,Tropical,Tropical,Tropical,Tropical,Tropical,tropical,tropical
موازي,parallel,Parallel,Parallel,Parallel,Parallel,Parallel,Parallel,Parallel,Parallel,parallel,parallel
ماباينش,subtle,Invisible,Invisible,Invisible,Invisible,Invisible,Invisible,Invisible,Invisible,invisible,invisible
آمن,secure,Safe,Safe,Safe,Safe,Safe,Safe,Trustworthy,Safe,trustworthy,safe
لتحتاني,bottom,Stubborn,Humble,To be shy,Arrogant,Stubborn,Humble,Sneaky,Humble,Sneaky,stubborn
رائع,marvelous,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,awesome,wonderful
فتيتاحي,preliminary,Shy,Shy,Single,Shy,Charming,Charming,Charming,Courageous,charming,charming
جزء,partial,Part,Participating,Part,Part of,Part,Partial,Funny,Partial,generous,generous
أقلّ,lesser,Minimal,Less,Less,Less,Minimal,Least,Minimal,Least,quiet,humble
مساعد,assistant,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,helpful,helpful
عمودي,vertical,Vertical,Vertical,Vertical,Vertical,Vertical,Vertical,Vertical,Vertical,upright,vertical
تدريجي,progressive,Gradual,Gradual,Gradual,Gradual,Gradual,Gradual,Gradual,Gradual,gradual,gradual
قارّي,continental,Illiterate,Heavy,Illiterate,Proud,Smart,Proud,Smart,Generous,smart,smart
كايعيّف,nasty,Confused,Confused,Confused,Confused,Confused,Confused,Resourceful,Stunning,clumsy,confused
راقي,elegant,Classy,Elegant,Elegant,Elegant,Classy,Elegant,Classy,Elegant,elegant,elegant
ملموس,concrete,Tangible,Tangible,Tangible,Tangible,Tangible,Tangible,Tangible,Tangible,tangible,tangible
مؤقت,interim,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,temporary,temporary
إلزامي,compulsory,Mandatory,Mandatory,Mandatory,Mandatory,mandatory,Mandatory,Mandatory,Mandatory,mandatory,mandatory
مزمن,chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,Chronic,chronic,chronic
كايتخلّص,payable,Relieved,Relieved,It's escaping.,Relieved,Resourceful,Resourceful,Resourceful,Resourceful,Annoying,smart
منهاجي,systematic,My curriculum,Educational,My curriculum,Educational,My curriculum,Educational,My curriculum,Methodical,Studious,disciplined
موضوعي,objective,My topic,Subjective,My topic,Subjective,My topic,Subjective,Chel7,Serious,serious,serious
مميّز,characteristic,Special,Distinct,Unique,Distinct,Distinct,Distinct,Unique,Distinct,unique,distinct
فازڭ,damp,Winner,Successful,Winner,Proud,Funny,Fierce,Sassy,Confident,stubborn,proud
حسّاس,delicate,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,sensitive
مملّ,dull,Boring,Boring,Boring,Boring,Boring,Boring,Boring,Boring,boring,boring
سحري,magic,Magical,Magical,Magical,Magical,Magical,Enchanting,Magical,Magical,magical,magical
منيرڤي,upset,Monirvi,Energetic,Monirvi,Menervi - Bright,Monirvi,Shiny,Sassy,Bright,energetic,playful
أوّل,premier,First,First,First,First,First,First,First,First,first,first
كايضحّك,fun,Funny,Funny,Funny,Funny,Funny,Funny,Funny,Funny,funny,funny
رائع,splendid,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,Fantastic,wonderful
خدّام,operational,Servile,Servant,Servant,Servant,Servant,Hardworking,Hardworking,Servant,helpful,helpful
ستشاري,advisory,Consultant,Consultative,Consultant,Consultative,Consultant,Consultative,Consultant,Wise,smart,stubborn
بدائي,primitive,Primitive,Primitive,Primitive,Primitive,Primitive,Primitive,Primitive,Primitive,Primitive,primitive
إديولوجي,ideological,Ideological,Ideological,Ideological,Ideological,Ideological,Ideological,Ideological,Ideological,ideological,ideological
تيكنولوجي,technological,Technological,Technological,Technological,Technological,Technological,Technological,High-tech,Technological,technological,technological
أنيق,neat,Stylish,Elegant,Stylish,Elegant,Stylish,Elegant,Stylish,Elegant,elegant,elegant
معاكس,contrary,Opposite,Opposite,Opposite,Opposite,Opposite,Contrary,Rebellious,Opposite,flirtatious,opposite
ملاسق,adjacent,Attached,Close,Clumsy,Close,Nosy,Close,Clumsy,Close,Charming,charming
عدواني,hostile,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,aggressive,aggressive
متلي,gay,Cool,Cute,Unique,Like me,Like me,Unique,Savage,Clever,Clever,crazy
امن,peaceful,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,safe,safe
كايخلع,horrible,Stylish,Stylish,Stylish,Noisy,Stylish,Stylish,Swaggering,Stylish,messy,messy
جغرافي,geographical,Geographical,Geographic,Geographic,Geographic,Geographical,Geographical,Geographical,Geographic,geographical,geographic
ديناميكي,dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,dynamic,dynamic
متحرّك,dynamic,Mobile,Mobile,Mobile,Mobile,Mobile,Dynamic,Mobile,Dynamic,energetic,active
ممتاز,super,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,excellent
تمين,precious,Beautiful,Safe,Safe,Safe,Crazy,Safe,Chill,Generous,Generous,generous
غالي,precious,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,expensive,expensive
ملحوض,notable,Noted,Noted,Noticeable,Noted,Noted.,Noted,Sharp,Noticed,noticeable,noticeable
محدّد,definite,Specific,Specific,Specific,Specific,Specific,Specific,Specific,Specific,determined,determined
مؤسف,unfortunate,Sad,Sad,Sad,Sad,Sad,Unfortunate,Bummer,Sad,sad,sad
فنّي,artistic,Artistic,Artistic,Artistic,Artistic,Talented,Artistic,Artistic,Artistic,Artistic,artistic
ميغناطيسي,magnetic,Magnetic,Magnetic,Magnetic,Magnetic,Magnetic,Magnetic,Magnetic,Magnetic,charismatic,charismatic
ماكايتقاداش,endless,Unbelievable,Unbelievable,Nothing,Unbelievable,Unbelievable,Unbelievable,Unbelievable,Unbelievable,unbelievable,unbelievable
شرس,fierce,Fierce,Fierce,Fierce,Fierce,Fierce,Fierce,Fierce,Fierce,fierce,fierce
خفيف,mild,Light,Light,Light,Light,Light,Light,Light,Light,light,light
مجهّد,loud,Tired,Tired,Tired,Tired,Tired,Hardworking,Hardworking,Tired,hardworking,exhausted
طموح,ambitious,Ambitious,Ambitious,Ambitious,Ambitious,Ambitious,Ambitious,Ambitious,Ambitious,ambitious,ambitious
بلهضرا,verbal,Clumsy,Shiny,Clumsy,Shiny,Funny,Shiny,Resourceful,Shy,Confused,confused
ناضج,mature,Mature,Mature,Mature,Mature,Mature,Mature,Mature,Mature,mature,mature
شرعي,legitimate,Legit,Legal,Legitimate,Legal,Legit,Legitimate,Legit,Legitimate,legitimate,legitimate
معروف,well-known,Famous,Famous,Famous,Famous,Famous,Famous,Famous,Famous,famous,famous
محرج,awkward,Embarrassing,Embarrassing,Embarrassing,Embarrassing,Embarrassing,Embarrassing,Embarrassing,Embarrassing,embarrassing,embarrassing
راضي,content,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,satisfied,satisfied
تجريبي,empirical,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Sassy,Experimental,adventurous,experimental
صعيب,harsh,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Tough,Difficult,difficult,difficult
قاسح,harsh,Harsh,Harsh,Harsh,Harsh,Rude,Harsh,Rude,Harsh,stubborn,harsh
متعاطف,sympathetic,Sympathetic,Compassionate,Compassionate,Compassionate,Sympathetic,Compassionate,Compassionate,Compassionate,compassionate,compassionate
ستعماري,colonial,Colonial,Colonial,Colonial,Colonial,Colonial,Colonial,Resourceful,Colonial,Generous,colonial
خبيت,evil,Hidden,Clever,Hidden,Hidden,Hidden,Hidden,Sneaky,Hidden,hidden,hidden
شرّير,evil,Evil,Evil,Naughty,Evil,Naughty,Evil,Sneaky,Evil,wicked,wicked
بحري,naval,Maritime,Maritime,Maritime,Maritime,Marine,Maritime,Resourceful,Maritime,spontaneous,marine
ملائم,favorable,Appropriate,Suitable,Appropriate,Suitable,Appropriate,Appropriate,Appropriate,Appropriate,appropriate,appropriate
وسط,mid,Average,Middle,Average,Average,Central,Middle,Average,Average,average,average
غايب,absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,absent,absent
واسع,vague,Spacious,Spacious,Spacious,Spacious,Spacious,Spacious,Spacious,Spacious,spacious,spacious
عرقي,racial,Sweaty,Sweaty,Sweaty,Sweaty,Sweaty,Sweaty,Sweaty,Sweaty,Sweaty,sweaty
تمتيلي,representative,Talented,Stubborn,Tameeli,Flexible,Sassy,Stubborn,Sassy,Stubborn,Clever,stubborn
باهت,faint,Dull,Faded,Dull,Faded,Dull,Faded,Dull,Faded,dull,pale
حيوي,lively,Dynamic,Lively,Dynamic,Lively,Lively,Lively,Lively,Dynamic,energetic,energetic
ساحلي,coastal,Coastal,Coastal,Coastal,Coastal,Coastal,Coastal,Coastal,Coastal,coastal,coastal
متحمّس,enthusiastic,Excited,Excited,Excited,Excited,Excited,Excited,Excited,Excited,excited,excited
فمينيست,feminist,Feminist,Feminist,Feminist,Feminist,Feminist,Feminist,Feminist,Feminist,feminist,feminist
صلب,rigid,Tough,Hard,Tough,Hard,Tough,Tough,Tough,Tough,tough,firm
عميق,profound,Deep,Deep,Deep,Deep,Deep,Deep,Profound,Deep,deep,deep
هائل,immense,Huge,Huge,Huge,Huge,Huge,Huge,Enormous,Huge,enormous,huge
نسبي,comparative,Relaxed,Relative,Relative,Relative,My relative,Relative,Chill,Relative,generous,relative
غريب,peculiar,Strange,Strange,Strange,Strange,Strange,Strange,Weird,Strange,strange,strange
مفيد,beneficial,Useful,Helpful,Useful,Helpful,Useful,Helpful,Helpful,Helpful,helpful,helpful
متنقل,mobile,Mobile,Versatile,Mobile,versatile,Mobile,Adaptable,Versatile,Adaptable,versatile,flexible
منتج,productive,Product,Productive,Product,Productive,Product,Productive,Resourceful,Productive,productive,productive
سطحي,shallow,Superficial,Superficial,Superficial,Superficial,Superficial,Superficial,Superficial,Superficial,Superficial,superficial
حريص,eager,Cautious,Eager,Cautious,Eager,Cautious,Eager,Cautious,Eager,cautious,eager
رمزي,symbolic,Symbolic,Symbolic,Symbolic,Symbolic,Symbolic,Symbolic,Mysterious,Symbolic,mysterious,mysterious
معتادل,moderate,Average,Balanced,Average,Balanced,Average,Balanced,Average,Balanced,average,balanced
قاتل,fatal,Fighter,Deadly,Fighter,Deadly,Killer,Deadly,Savage,Deadly,funny,killer
مجموع,compact,Cool,Complete,Total,Total,Cool,Collective,Chel7,Total,Generous,elegant
مربح,profitable,Profitable,Profitable,Profitable,Profitable,Profitable,Profitable,Profitable,Profitable,profitable,profitable
منافس,rival,Competitive,Competitive,Competitor,Competitive,Competitor,Competitive,Competitive,Competitive,competitive,competitive
جزيئي,molecular,Molecular,Molecular,Molecular,Partial,Partial,Mysterious,Mysterious,Partial,molecular,molecular
إداري,managerial,Administrative,Administrative,Administrative,Administrative,Administrative,Administrative,Administrative,Administrative,efficient,administrative
الداخلي,interior,Internal,Internal,Interior,Internal,The insider,Internal,Insider,Internal,internal,internal
خطّي,linear,Messy,My mistake,Straight,Straight,Stubborn,Delicate,Stubborn,Delicate,clumsy,clumsy
ماكافيش,insufficient,"There is no equivalent adjective in English for ""makayesh"" in Moroccan Arabic.",Unique,"There is no equivalent in English for ""ماكافيش"" in Moroccan Arabic.",Unbelievable,Stubborn,Unique,Resourceful,Generous,clumsy,insignificant
مؤهّل,eligible,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,qualified
معنفج,uncomfortable,Stylish,Sparkling,Confused,Confused,Agitated,Confused,Bossy,Confused,confused,confused
ماموريحش,uncomfortable,Stubborn,Stubborn,Stubborn,Confused,Stubborn,Stubborn,Stubborn,Stubborn,confused,confused
مخلص,loyal,loyal,Sincere,loyal,Sincere,Dedicated,Dedicated,Dedicated,Sincere,loyal,loyal
مرتقب,prospective,Expected,Expected,Expected,Expected,Expected,Anticipated,Anticipated,Expected,anticipated,anticipated
تلواليدين,parental,Talwaledin -> Mischievous,Ambitious,Talwalidin,Ambidextrous,Naive,Stubborn,Resourceful,Talented,Mischievous,stubborn
مالي,fiscal,Confused,Confused,Broke,Confused,Confused,Confused,Stubborn,Confused,confused,confused
تلفلوس,fiscal,Stingy,Rich,Stingy,Rich,Generous,Generous,Stingy,Generous,greedy,greedy
خاوي,blank,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,empty
قاسي,cruel,Harsh,Harsh,Harsh,Harsh,Harsh,Harsh,Tough,Harsh,harsh,harsh
وحشي,cruel,Savage,Savage,Savage,Savage,Savage,Savage,Savage,Wild,savage,savage
متنوّع,diverse,Diverse,Diverse,Diverse,Diverse,Diverse,Diverse,Diverse,Diverse,diverse,diverse
نبيل,noble,Generous,Noble,Noble,Noble,Generous,Noble,Generous,Noble,noble,noble
متغيّر,variable,Variable,Variable,Variable,Variable,Variable,Variable,Versatile,Variable,unpredictable,changeable
متأصّل,inherent,Deep-rooted,Deep-rooted,Deep-rooted,Deep-rooted,Rooted,Deep-rooted,Deep-rooted,Deep-rooted,Deep-rooted,deep-rooted
خام,crude,Raw,Raw,Raw,Raw,Raw,Raw,Rough,Raw,raw,raw
مشبوه,suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,suspicious,suspicious
نتقائي,selective,Picky,Selective,Selective,Selective,Picky,Selective,Picky,Selective,elegant,selective
مفصّل,elaborate,Detailed,Detailed,Detailed,Detailed,Detailed,Detailed,Detailed,Detailed,meticulous,detailed
متوسّط,intermediate,Average,Average,Average,Average,Average,Average,Average,Average,average,average
غامض,mysterious,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,mysterious,mysterious
فلسفي,philosophical,Philosophical,Philosophical,Philosophical,Philosophical,Philosophical,Philosophical,Philosophical,Philosophical,philosophical,philosophical
متعمّد,deliberate,Intentional,Intentional,Intentional,Intentional,Intentional,Intentional,Intentional,Intentional,stubborn,intentional
حنون,tender,Affectionate,Affectionate,Affectionate,Affectionate,Affectionate,Affectionate,Tender,Affectionate,affectionate,affectionate
محضوض,fortunate,Confused,Confused,Tired,Confused,Confused,Confused,Stylish,Confused,confused,confused
محمي,protective,Protected,Protected,Protected,Protected,Protected,Protected,Protected,Protected,protected,protected
مقدّس,sacred,Sacred,sacred,Sacred,sacred,Sacred,Sacred,Sacred,Sacred,sacred,sacred
سائل,liquid,Curious,Thirsty,Curious,Thirsty,Curious,Curious,Chill,Thirsty,curious,curious
شمسي,solar,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,sunny
ماموفريحش,unpleasant,Unhappy,Unimpressed,Unhappy,Unimpressed,Unbothered,Unhappy,Unbothered,Disappointed,generous,uncomfortable
رياضياتي,mathematical,My mathy,Mathematical,My math.,Mathematical,My mathy,Mathematical,My mathy,Mathematical,mathematical,mathematical
دفاعي,defensive,Defensive,Defensive,Defensive,Defensive,Defensive,Defensive,Defensive,Defensive,defensive,defensive
معماري,architectural,Architectural,Architectural,Architectural,Architectural,Architect,Architectural,Architect,Architectural,creative,architectural
يدوي,manual,Handmade,Manual,Manual,Manual,Manual,Manual,Rustic,Manual,Handmade,noisy
دائري,circular,Circular,Circular,Circular,Circular,Circular,Circular,Circular,Circular,round,round
مصرّ,persistent,Cool,Stingy,Egyptian,Stingy,Stubborn,Stubborn,Stubborn,Stubborn,stubborn,stubborn
متابر,persistent,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Persistent,Stubborn,Stubborn,stubborn,stubborn
إلهي,divine,Divine,Divine,My Lord,Divine,Divine,Divine,Hilarious,Beautiful,beautiful,divine
مكاني,spatial,My place,My place,My place,My place,My place,Cozy,My place,Cozy,loyal,loyal
مامقبولش,unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,unacceptable,unacceptable
مسموم,toxic,Poisoned,Poisonous,Poisoned,poisonous,Poisoned,Poisoned,Toxic,Poisonous,poisonous,poisonous
مؤهّل,competent,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,Qualified,qualified
متكامل,integral,Well-rounded,Complete,Integrated,Complete,Integrated,Comprehensive,Versatile,Integrated,well-rounded,complete
مامقيوسش,intact,Unreliable,Confused,Confused,Confused,Stubborn,Confused,Stubborn,Confused,confused,disgusting
معاود,redundant,Repetitive,Repeated,Repeated,Repeated,Stubborn,Repetitive,Stubborn,Stubborn,stubborn,repetitive
زايد,redundant,Excessive,Excessive,Excessive,Excessive,Excessive,Excessive,Extra,Excessive,extra,excessive
زاعم,bold,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,arrogant,arrogant
هاوي,amateur,Amateur,Amateur,Amateur,Amateur,Amateur,Amateur,Amateur,Amateur,amateur,passionate
ڭدّامي,forward,Traditional,Servile,Courageous,Servile,Generous,Servile,Resourceful,Servile,Generous,generous
قدّامي,forward,In front of me,In front of me,In front of me,In front,In front of me,In front of me,Confident,In front of me,brave,brave
ماباينش,invisible,Invisible,Invisible,Invisible,Invisible,Invisible,Invisible,Invisible,Invisible,invisible,invisible
إدراكي,cognitive,Aware,Perceptive,My awareness,Perceptive,My awareness,Perceptive,Aware,Aware,aware,conscious
مأساوي,tragic,Tragic,Tragic,Tragic,Tragic,Tragic,Tragic,Tragic,Tragic,tragic,tragic
مفجع,tragic,Heartbreaking,Heartbreaking,Heartbreaking,Heartbreaking,Heartbreaking,Heartbreaking,Heartbreaking,Heartbreaking,heartbreaking,heartbreaking
تنضيمي,regulatory,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,organized,organized
حاسم,decisive,Decisive,Decisive,Decisive,Decisive,Decisive,Decisive,Decisive,Decisive,decisive,decisive
إقليمي,territorial,Regional,Regional,Regional,Regional,Regional,Regional,Regional,Regional,Regional,Regional
منطقي,territorial,Logical,Logical,Logical,Logical,Logical,Logical,Logical,Logical,logical,logical
فايق,awake,Awake,Awake,Awake,Awake,Awake,Alert,Alert,Alert,awake,awake
داخلي,inland,Internal,Internal,Internal,Internal,Interior,Internal,Cozy,Internal,introverted,introverted
محتمل,probable,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,possible,possible
عكسي,adverse,Opposite,Opposite,Opposite,Opposite,Opposite,Opposite,Opposite,Opposite,opposite,opposite
محترم,respectable,Respectful,Respectful,Respectful,Respectful,Respectful,Respectful,Respectful,Respectful,Respectful,respectful
ساكن,resident,Resident,Resident,Resident,Quiet,Resident,Resident,Chill,Quiet,quiet,calm
مقيم,resident,Resident,Resident,Resident,Resident,Resident,Resident,Chill,Resilient,smart,patient
مدني,civilian,Civil,Civil,Civil,Urban,Civil,Civil,Civilized,Civilized,civilized,civilized
أُرتودوكسي,orthodox,Orthodox,Orthodox,Orthodox,Orthodox,Orthodox,Orthodox,Traditional,Orthodox,Orthodox,orthodox
متعصّب,orthodox,Fanatical,Biased,Fanatic,Biased,Bigoted,Biased,Fanatic,Biased,irritated,irritated
تابت,static,Stubborn,Stubborn,Stubborn,Stable,Stubborn,Sturdy,Stubborn,Sturdy,calm,stubborn
واڭف,static,Stylish,Beautiful,Beautiful,Confident,Crazy,Beautiful,Sassy,Confident,Clever,brave
متوافق,compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,compatible,compatible
سببي,causal,My reason,Mysterious,My reason,Mysterious,My reason,Mysterious,Stubborn,Generous,stubborn,stubborn
ضمني,implicit,Confident,Tight,Inclusive,Include me,Include me,Warm,Confident,Warm,protective,cute
مامفروشّ,implicit,Generous,Unsold,Stingy,Unsold,Generous,Unsellable,Stylish,Generous,Generous,stubborn
قديم,old-fashioned,Old,Old,Old,Old,Ancient,Old,Ancient,Old,old,old
جمالي,aesthetic,My beauty,Beautiful,My beauty,Beautiful,My beauty,Beautiful,My beauty,Beautiful,Beautiful,beautiful
مبوڭس,aesthetic,Irritated,Stubborn,Confused,Stubborn,Stubborn,Stubborn,Stubborn,Generous,Confused,confused
مجموع,aggregate,Cool,Total,Total,Total,Total,Collective,Chel7,Complete,Generous,elegant
رقيق,slim,Delicate,Delicate,Delicate,Delicate,Delicate,Delicate,Delicate,Delicate,delicate,delicate
طويل,lengthy,Tall,Tall,Tall,Tall,Tall,Tall,Tall,Tall,tall,tall
مزداوج,dual,Confused,Paired,Paired,Paired,Confused,Paired,Stubborn,Paired,confused,confused
رائع,fantastic,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,awesome,wonderful
مافراسوش,unaware,Unpredictable,Unbothered,Unruly,Unbothered,Unpredictable,Unimpressed,Savage,Stubborn,confused,confused
ماواعيش,unconscious,Unlivable,Generous,What a life!,Unhappy,Unlucky,Unbelievable,Resourceful,Generous,stubborn,carefree
أخلاقي,ethical,Ethical,Moral,My moral,Moral,My morals,Ethical,Ethical,Ethical,ethical,moral
مستيلي,fashionable,Stylish,Slick,Stylish,Slick,Sneaky,Delicious,Sassy,Sassy,charming,elegant
مجهول,anonymous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,unknown
فشكل,exotic,Stylish,Unique,Unique,Unique,Stylish,Unique,Stylish,Unique,weird,handsome
غريب,exotic,Strange,Strange,Strange,Strange,Strange,Strange,Weird,Strange,strange,strange
مراهق,teenage,Teenager,Teenage,Teenager,Adolescent,Teenager,Adolescent,Teenager,Teenager,rebellious,adolescent
غالي,costly,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,expensive,expensive
كارتي,disastrous,My card,My card,My card,My card,My card,My card,Stylish,Generous,stubborn,stubborn
مستاقلّ,autonomous,Independent,Independent,Independent,Independent,Independent,Independent,Resourceful,Independent,independent,independent
أوتوماتيك,autonomous,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,automatic,automatic
ذري,atomic,Tiny,Tiny,Tiny,Tiny,Wild,Tiny,Savage,Tiny,cute,tiny
سرّي,confidential,Mysterious,Mysterious,Secret,Secret,Mysterious,Mysterious,Mysterious,Mysterious,mysterious,mysterious
حمق,foolish,Stupid,Silly,Stupid,Stupid,Stupid,Silly,Silly,Silly,foolish,silly
ملوّن,colorful,Colorful,Colorful,Colorful,Colorful,Colorful,Colorful,Colorful,Colorful,colorful,colorful
بنين,delicious,Cool,Delicious,Cute,Delicious,Cute,Delicious,Cool,Delicious,cute,good
عميق,thorough,Deep,Deep,Deep,Deep,Deep,Deep,Profound,Deep,deep,deep
مغرم,fond,In love,In love,In love,Enamored,In love,Enamored,Infatuated,Enamored,smitten,in love
جديد,novel,New,New,New,New,Fresh,New,Fresh,New,fresh,new
منتاضم,uniform,Regular,Regular,Regular,Regular,Consistent,Organized,Reliable,Tidy,organized,organized
متناسق,coherent,Harmonious,Harmonious,Harmonious,Harmonious,Harmonious,Harmonious,Harmonious,Harmonious,harmonious,harmonious
مجيد,glorious,Majestic,Glorious,Generous,Glorious,Talented,Glorious,Talented,Glorious,generous,generous
نفسي,psychiatric,I want,Desirous,Self,Same,Selfish,Desperate,Ch7al.,Desperate,stubborn,selfish
معجمي,lexical,My dictionary,Lexical,My dictionary,Educational,My dictionary,Educational,Resourceful,Educated,Generous,scholarly
تطوّري,evolutionary,Evolved,Developed,Developed,Developed,Evolved,Progressive,Sassy,Progressive,Intelligent,creative
كايربّي,disciplinary,Cute,Cute,Cute,Happy,Crazy,Beautiful,Chill,Beautiful,generous,adorable
تأديبي,disciplinary,Disciplined,Disciplinary,Disciplined,Disciplinary,My discipline,Disciplinary,Strict,Disciplined,strict,disciplined
عتباطيا,arbitrary,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubbornly,Stubborn,Stubborn,stubborn,stubborn
كايفرّح,delightful,Happy,Happy,Happy,Happy,Happy,Happy,Cheerful,Happy,cheerful,happy
متشرّد,homeless,Homeless,Homeless,Homeless,Homeless,Homeless,Neglected,Broke,Homeless,homeless,homeless
شمكار,homeless,Stylish,Generous,Stingy,Generous,Stubborn,Generous,Resourceful,Generous,Sneaky,smart
غريب,weird,Strange,Strange,Strange,Strange,Strange,Strange,Weird,Strange,strange,strange
حميمي,intimate,Close,Cozy,Intimate,Cozy,Cozy,Cozy,Cozy,Cozy,cozy,cozy
هائل,formidable,Huge,Huge,Huge,Huge,Huge,Huge,Gigantic,Huge,enormous,huge
تدريجي,gradual,Gradual,Gradual,Gradual,Gradual,Gradual,Gradual,Gradual,Gradual,gradual,gradual
فلخارج,outdoor,Outdoorsy,Foreign,Foreign,Foreign,Outrageous,Outstanding,Outgoing,Outstanding,outgoing,outgoing
مهني,vocational,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,professional,professional
تلخدمة,vocational,Efficient,Excellent,efficient,efficient,Efficient,Excellent,Hardworking,Efficient,helpful,efficient
عالمي,worldwide,Worldly,Global,Universal,Global,Worldly,Global,Worldly,Global,cool,sophisticated
حشمان,ashamed,Modest,Dignified,Modest,Dignified,Modest,Dignified,Modest,Dignified,Respectful,respectful
تنضيمي,organizational,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,organized,organized
خبيت,wicked,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Sneaky,Hidden,sneaky,hidden
